Variable Name,Data Type,Units,Data Point Name,Data Point Description,,DATA Table Column Location,VISUALIZATION Template Column Location,Default,Anticipated Range of Values,Source of Input Data
T4min,float,Degrees (C),Typical temperature of Medium returning from the Heat Offtaker (Min),Typical temperature of Medium returning from the Heat Offtaker (Min),MECHANICAL OPERATING PARAMETERS,BZ, ,20,10.0 - 40.0,Client
T4max,float,Degrees (C),Typical temperature of Medium returning from the Heat Offtaker (Max),Typical temperature of Medium returning from the Heat Offtaker (Max),MECHANICAL OPERATING PARAMETERS,CA, ,40,10.0 - 50.0,Client
T4,float,Degrees (C),Rated temperature of Medium FROM the Heat Offtaker,Rated temperature of Medium FROM the Heat Offtaker,MECHANICAL OPERATING PARAMETERS,CB,,25,10.0 - 50.0,Client
T3min,float,Degrees (C),Typical temperature of Medium To the Heat Offtaker (Min),Typical temperature of Medium To the Heat Offtaker (Min),MECHANICAL OPERATING PARAMETERS,CC,M,30,10.0 - 60.0,Client
T3max,float,Degrees (C),Typical temperature of Medium To the Heat Offtaker (Max),Typical temperature of Medium To the Heat Offtaker (Max),MECHANICAL OPERATING PARAMETERS,CD,N,50,10.0 - 60.0,Client
T3,float,Degrees (C),Rated temperature of Medium TO the Heat Offtaker ,Rated temperature of Medium TO the Heat Offtaker ,MECHANICAL OPERATING PARAMETERS,CE,,45,10.0 - 60.0,Client
oftkrdt,float,Degrees (C),Temperature Difference across Offtaker side of heat exchanger,Temperature Difference across Offtaker side of heat exchanger,MECHANICAL OPERATING PARAMETERS,CF,,(calculated),10.0 - 70.0,Engine
oftkrpipe,string,n/a,Material for the Piping for the Heat Offtaker Circuit:,Material for the Piping for the Heat Offtaker Circuit:,MECHANICAL OPERATING PARAMETERS,HZ,,steel,"Steel, Grooved Steel, Plastic, Copper, Stainless, Grooved Stainless",Client
fluid2,string,n/a,Medium used in the Heat Offtaker Circuit,What is the medium being used for heating?,MECHANICAL OPERATING PARAMETERS,CG,BE,Water,50 char,Client
P4,float,bar,Medium pressure entering the heat exchnager on the Heat Offtaker Side,Gauge Pressure at the Heat Exchanger,MECHANICAL OPERATING PARAMETERS,CH, ,5,1.0 - 25.0,Client
P3,float,bar,Medium Pressure leaving the heat exchanger on the Heat Offtaker Side,Gauge Pressure at the Heat Exchanger,MECHANICAL OPERATING PARAMETERS,CI, ,3,1.0 - 25.0,Client
